bandit,reward,algorithm
4,4.8423030461525105,thompson-sampling
4,4.297413481540828,thompson-sampling
4,4.627959943417268,thompson-sampling
4,2.6672809304862266,thompson-sampling
4,4.364273754593772,thompson-sampling
4,4.267813103535861,thompson-sampling
4,4.409757196836711,thompson-sampling
4,2.5775935213435672,thompson-sampling
4,3.1282841900098024,thompson-sampling
4,5.75807836582004,thompson-sampling
4,4.314107352172576,thompson-sampling
4,3.497204244363997,thompson-sampling
4,1.9428310041021724,thompson-sampling
4,2.5488142938678386,thompson-sampling
4,2.654324152163087,thompson-sampling
4,4.770804490374856,thompson-sampling
4,5.63296158547047,thompson-sampling
4,3.7382444731379145,thompson-sampling
4,1.9907836628393851,thompson-sampling
4,4.671858440851802,thompson-sampling
4,5.786603171436582,thompson-sampling
4,6.617569111002231,thompson-sampling
4,2.7220706421374645,thompson-sampling
4,3.002418344610283,thompson-sampling
4,3.3331011940548008,thompson-sampling
4,1.9840878104148003,thompson-sampling
4,5.153207817111121,thompson-sampling
4,2.1486861038818033,thompson-sampling
4,1.568330076475482,thompson-sampling
4,3.7671364806766476,thompson-sampling
4,3.485488190172502,thompson-sampling
4,4.445193698507704,thompson-sampling
4,3.8221568625644626,thompson-sampling
4,3.2589907027926057,thompson-sampling
4,4.51628274395799,thompson-sampling
4,4.942005391334018,thompson-sampling
4,2.035068932285499,thompson-sampling
4,3.317455860850695,thompson-sampling
4,2.017129833416994,thompson-sampling
4,2.379189962081414,thompson-sampling
4,3.55421906482432,thompson-sampling
4,2.8431780329023693,thompson-sampling
4,4.68451714071225,thompson-sampling
4,5.196921605903644,thompson-sampling
4,3.927205350865067,thompson-sampling
4,4.518100522309684,thompson-sampling
4,2.779779919092242,thompson-sampling
4,4.7321161468789,thompson-sampling
4,5.056798040245079,thompson-sampling
4,4.125988448210666,thompson-sampling
4,3.0279566825312476,thompson-sampling
4,4.7329861692288215,thompson-sampling
4,3.719591279834708,thompson-sampling
4,2.0451572234664734,thompson-sampling
4,4.608743770265386,thompson-sampling
4,3.0270916461764608,thompson-sampling
4,2.3706987688365015,thompson-sampling
4,6.280474938772028,thompson-sampling
4,4.219026301698723,thompson-sampling
4,4.680494759938036,thompson-sampling
4,3.9235297967570233,thompson-sampling
4,2.333777772666873,thompson-sampling
4,3.8537842986732462,thompson-sampling
4,6.394402480175142,thompson-sampling
4,3.7293873373521804,thompson-sampling
4,3.700783279790454,thompson-sampling
4,3.772527855541359,thompson-sampling
4,5.598302115834344,thompson-sampling
4,4.785830899577313,thompson-sampling
4,4.202888800151546,thompson-sampling
4,2.3355911355205494,thompson-sampling
4,4.373882180701435,thompson-sampling
4,3.069006048034051,thompson-sampling
4,2.2032432959082033,thompson-sampling
4,2.737974419832319,thompson-sampling
4,3.5496397809906344,thompson-sampling
4,3.6471783270498355,thompson-sampling
4,3.501090142689227,thompson-sampling
4,3.060277873749353,thompson-sampling
4,5.115447797106101,thompson-sampling
4,4.378223570693065,thompson-sampling
4,4.755412720914107,thompson-sampling
4,2.8903604842575437,thompson-sampling
4,2.67317284125908,thompson-sampling
4,5.242432772010926,thompson-sampling
4,2.803945880753003,thompson-sampling
4,4.973271612016436,thompson-sampling
4,2.7551078099832473,thompson-sampling
4,4.284718823097008,thompson-sampling
4,4.1904148368742975,thompson-sampling
4,5.799463893172786,thompson-sampling
4,3.8622892890178235,thompson-sampling
4,4.346374193160107,thompson-sampling
4,3.876164106570871,thompson-sampling
4,2.324203548506823,thompson-sampling
4,4.434537894016566,thompson-sampling
4,4.932684358678291,thompson-sampling
4,4.046975463606999,thompson-sampling
4,2.9772999800930604,thompson-sampling
4,4.308822997684655,thompson-sampling
4,3.553313676942486,thompson-sampling
4,3.7271962453194916,thompson-sampling
4,4.940147256477337,thompson-sampling
4,4.1407754165546375,thompson-sampling
4,5.375317607319465,thompson-sampling
4,5.380084641676491,thompson-sampling
4,2.31713161978288,thompson-sampling
4,3.8228931131670385,thompson-sampling
4,3.84266477035853,thompson-sampling
4,4.017344835484972,thompson-sampling
4,3.3908382689638916,thompson-sampling
4,2.4616697921709054,thompson-sampling
4,3.871875602184966,thompson-sampling
4,4.5372168720496235,thompson-sampling
4,6.386889865763348,thompson-sampling
4,3.2324497153888068,thompson-sampling
4,3.805658769847987,thompson-sampling
4,4.098633422552483,thompson-sampling
4,3.0028072933187313,thompson-sampling
4,4.5109352900168895,thompson-sampling
4,4.646568525438138,thompson-sampling
4,2.6718550671182744,thompson-sampling
4,4.289072793253545,thompson-sampling
4,2.605710128409659,thompson-sampling
4,4.168964305567968,thompson-sampling
4,3.9361589573015623,thompson-sampling
4,5.118564646366453,thompson-sampling
4,3.4348411259567158,thompson-sampling
4,4.7763739462358785,thompson-sampling
4,4.427123204576145,thompson-sampling
4,3.5640799056726453,thompson-sampling
4,3.1067343350494268,thompson-sampling
4,4.558558085350319,thompson-sampling
4,5.186033885757036,thompson-sampling
4,3.8030113023835903,thompson-sampling
4,5.507441950289457,thompson-sampling
4,5.438309894357455,thompson-sampling
4,3.7496948243783645,thompson-sampling
4,3.1363818183831813,thompson-sampling
4,3.1836595364846216,thompson-sampling
4,2.5485620856303073,thompson-sampling
4,3.2408398331739505,thompson-sampling
4,3.8450906420620785,thompson-sampling
4,5.326447212944235,thompson-sampling
4,2.780383337557713,thompson-sampling
4,4.524615455330463,thompson-sampling
4,5.808740753622811,thompson-sampling
4,4.814245332038442,thompson-sampling
4,2.461469619617327,thompson-sampling
4,4.335177721951437,thompson-sampling
4,4.736937870263606,thompson-sampling
4,1.9654953758966998,thompson-sampling
4,3.693847777639397,thompson-sampling
4,4.7921614684198985,thompson-sampling
4,3.8556352688235087,thompson-sampling
4,2.1696836160516764,thompson-sampling
4,3.2327602656540155,thompson-sampling
4,3.6089106073412274,thompson-sampling
4,2.528809494399532,thompson-sampling
4,4.350041702174892,thompson-sampling
4,4.352863878443174,thompson-sampling
4,4.326971956956441,thompson-sampling
4,4.334277516926798,thompson-sampling
4,4.524402164545991,thompson-sampling
4,4.156576612190037,thompson-sampling
4,3.826591449713896,thompson-sampling
4,3.9637346394715087,thompson-sampling
4,4.407431999888245,thompson-sampling
4,4.436102886746326,thompson-sampling
4,3.420786079830914,thompson-sampling
4,3.5499167165267904,thompson-sampling
4,2.190516754159523,thompson-sampling
4,4.224774142112071,thompson-sampling
4,2.8696711799998083,thompson-sampling
4,3.493567795158707,thompson-sampling
4,4.18408719251821,thompson-sampling
4,5.8439433210056535,thompson-sampling
4,4.010318747505572,thompson-sampling
4,3.562908164095725,thompson-sampling
4,5.976411957501705,thompson-sampling
4,5.811042663717004,thompson-sampling
4,2.638168971324797,thompson-sampling
4,2.7109528565148118,thompson-sampling
4,5.199112738507903,thompson-sampling
4,3.8212575486090508,thompson-sampling
4,2.245653286705558,thompson-sampling
4,6.413142480166035,thompson-sampling
4,5.492422585523545,thompson-sampling
4,4.669639825532338,thompson-sampling
4,2.508240135887024,thompson-sampling
4,2.9402610917888383,thompson-sampling
4,3.8809719738967012,thompson-sampling
4,4.120937834348256,thompson-sampling
4,4.619735233943868,thompson-sampling
4,4.395287070188668,thompson-sampling
4,3.7115440842881666,thompson-sampling
4,3.826997928894961,thompson-sampling
4,3.7675300179756834,thompson-sampling
4,3.794415380825799,thompson-sampling
4,3.428488959017728,thompson-sampling
4,3.7139391171584037,thompson-sampling
4,4.574890132777789,thompson-sampling
4,2.3160115315149703,thompson-sampling
4,3.313804983460854,thompson-sampling
4,3.7664612325270572,thompson-sampling
4,3.8782226030302955,thompson-sampling
